Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Minnesota Twins,14,1906,Washington Senators,,,2,AL,,55,95,0.366666667,none,7,,n,,American League Park II,129903,1732,8th of 8,$,98,95,
New York Yankees,15,1906,New York Highlanders,,,2,AL,,90,61,0.59602649,none,2,,n ,,Hilltop Park,434700,5720,3rd of 8,$,110,110,
Oakland Athletics,16,1906,Philadelphia Athletics,,,2,AL,,78,67,0.537931034,none,4,,n,,Columbia Park,489129,6700,2nd of 8,$,101,103,
Philadelphia Phillies,6,1906,Philadelphia Phillies,,,1,NL,,71,82,0.464052288,none,4,,n ,,Baker Bowl,294680,3827,5th of 8,$,99,100,
Pittsburgh Pirates,4,1906,Pittsburgh Pirates,,,1,NL,,93,60,0.607843137,none,3,,n,,Exposition Park III,394877,5128,3rd of 8,$,102,104,
San Francisco Giants,7,1906,New York Giants,,,2,NL,,96,56,0.631578947,none,2,,n,,Polo Grounds IV,402850,5371,2nd of 8,$,99,102,
St. Louis Cardinals,5,1906,St. Louis Cardinals,,,1,NL,,52,98,0.346666667,none,7,,n,,Robison Field,283770,3685,6th of 8,$,100,96,
Detroit Tigers,13,1907,Detroit Tigers,,,1,AL,,92,58,0.613333333,toppct,1,Lost_WS ,n ,4-0),Bennett Park,297079,3760,7th of 8,$,102,103,
Chicago Cubs,2,1907,Chicago Cubs,,,1,NL,,107,45,0.703947368,both,1,Won_WS ,y,4-0),West Side Grounds,422550,5560,2nd of 8,$,101,106,
Atlanta Braves,1,1907,Boston Doves,BSD,,7,NL,,58,90,0.391891892,none,7,,n,,South End Grounds III,203221,2746,7th of 8,$,103,100,
Baltimore Orioles,9,1907,St. Louis Browns,,,2,AL,,69,83,0.453947368,none,6,,n ,,Sportsman's Park II,419025,5513,4th of 8,$,99,100,
Boston Red Socks,10,1907,Boston Americans,,,2,AL,,59,90,0.395973154,none,7,,n,,Huntington Avenue Baseball Grounds,436777,5600,3rd of 8,$,101,99,
Chicago White Sox,11,1907,Chicago White Sox,,,1,AL,,87,64,0.57615894,none,3,,n,,South Side Park III,666307,8434,2nd of 8,$,95,97,
Cincinnati Reds,3,1907,Cincinnati Reds,,,3,NL,,66,87,0.431372549,none,6,,n,,Palace of the Fans,317500,3920,6th of 8,$,105,104,
Cleveland Indians,12,1907,Cleveland Naps,,,2,AL,,85,67,0.559210526,none,4,,n,,League Park I,382046,4659,6th of 8,$,99,101,
Los Angeles Dodgers,8,1907,Brooklyn Superbas,,,6,NL,,65,83,0.439189189,none,5,,n ,,Washington Park III,312500,4058,5th of 8,$,95,92,
Minnesota Twins,14,1907,Washington Senators,,,2,AL,,49,102,0.324503311,none,8,,n,,American League Park II,221929,2959,8th of 8,$,95,92,
New York Yankees,15,1907,New York Highlanders,,,2,AL,,70,78,0.472972973,none,5,,n ,,Hilltop Park,350020,4667,5th of 8,$,110,108,
Oakland Athletics,16,1907,Philadelphia Athletics,,,2,AL,,88,57,0.606896552,none,2,,n,,Columbia Park,625581,8570,1st of 8,$,102,102,
Philadelphia Phillies,6,1907,Philadelphia Phillies,,,1,NL,,83,64,0.56462585,none,3,,n ,,Baker Bowl,341216,4550,3rd of 8,$,98,99,
Pittsburgh Pirates,4,1907,Pittsburgh Pirates,,,1,NL,,91,63,0.590909091,none,2,,n,,Exposition Park III,319506,4149,4th of 8,$,99,102,
San Francisco Giants,7,1907,New York Giants,,,2,NL,,82,71,0.535947712,none,4,,n,,Polo Grounds IV,538350,6992,1st of 8,$,100,103,
St. Louis Cardinals,5,1907,St. Louis Cardinals,,,1,NL,,52,101,0.339869281,none,8,,n,,Robison Field,185377,2347,8th of 8,$,101,97,
Detroit Tigers,13,1908,Detroit Tigers,,,1,AL,,90,63,0.588235294,toppct,1,Lost_WS ,n ,4-1),Bennett Park,436199,5592,5th of 8,$,101,104,
