Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Philadelphia Phillies,6,1910,Philadelphia Phillies,,,1,NL,,78,75,0.509803922,none,4,,n ,,Baker Bowl,296597,3803,6th of 8,$,103,103,
Pittsburgh Pirates,4,1910,Pittsburgh Pirates,,,1,NL,,86,67,0.562091503,none,3,,n,,Forbes Field,436586,5745,3rd of 8,$,104,107,
San Francisco Giants,7,1910,New York Giants,,,2,NL,,91,63,0.590909091,none,2,,n,,Polo Grounds IV,511785,6478,2nd of 8,$,98,100,
St. Louis Cardinals,5,1910,St. Louis Cardinals,,,1,NL,,63,90,0.411764706,none,7,,n,,Robison Field,355668,4680,5th of 8,$,98,96,
San Francisco Giants,7,1911,New York Giants,,,2,NL,,99,54,0.647058824,toppct,1,Lost_WS ,n,4-2),Polo Grounds V Hilltop Park &  Polo Grounds IV,675000,9000,1st of 8,$,99,103,
Oakland Athletics,16,1911,Philadelphia Athletics,,,2,AL,,101,50,0.668874172,both,1,Won_WS ,y,4-2),Shibe Park,605749,8077,1st of 8,$,95,98,
Atlanta Braves,1,1911,Boston Rustlers,BSR,,6,NL,,44,107,0.291390728,none,8,,n,,South End Grounds III,116000,1547,8th of 8,$,111,107,
Baltimore Orioles,9,1911,St. Louis Browns,,,2,AL,,45,107,0.296052632,none,8,,n ,,Sportsman's Park III,207984,2666,8th of 8,$,101,96,
Boston Red Socks,10,1911,Boston Red Sox,,,1,AL,,78,75,0.509803922,none,4,,n,,Huntington Avenue Baseball Grounds,503961,6631,3rd of 8,$,98,99,
Chicago Cubs,2,1911,Chicago Cubs,,,1,NL,,92,62,0.597402597,none,2,,n,,West Side Grounds,576000,6857,2nd of 8,$,97,100,
Chicago White Sox,11,1911,Chicago White Sox,,,1,AL,,77,74,0.509933775,none,5,,n,,White Sox Park,583208,7477,2nd of 8,$,97,98,
Cincinnati Reds,3,1911,Cincinnati Reds,,,3,NL,,70,83,0.45751634,none,6,,n,,Palace of the Fans,300000,3659,6th of 8,$,98,97,
Cleveland Indians,12,1911,Cleveland Naps,,,2,AL,,80,73,0.522875817,none,3,,n,,League Park II,406296,5277,5th of 8,$,102,101,
Detroit Tigers,13,1911,Detroit Tigers,,,1,AL,,89,65,0.577922078,none,2,,n,,Bennett Park,484988,6381,4th of 8,$,104,105,
Los Angeles Dodgers,8,1911,Brooklyn Dodgers,BKN,,5,NL,,64,86,0.426666667,none,7,,n ,,Washington Park III,269000,3635,7th of 8,$,98,96,
Minnesota Twins,14,1911,Washington Senators,,,2,AL,,64,90,0.415584416,none,7,,n,,Griffith Stadium,244884,3180,7th of 8,$,98,98,
New York Yankees,15,1911,New York Highlanders,,,2,AL,,76,76,0.5,none,6,,n ,,Hilltop Park,302444,3928,6th of 8,$,107,106,
Philadelphia Phillies,6,1911,Philadelphia Phillies,,,1,NL,,79,73,0.519736842,none,4,,n ,,Baker Bowl,416000,5474,5th of 8,$,101,101,
Pittsburgh Pirates,4,1911,Pittsburgh Pirates,,,1,NL,,85,69,0.551948052,none,3,,n,,Forbes Field,432000,5538,4th of 8,$,101,104,
St. Louis Cardinals,5,1911,St. Louis Cardinals,,,1,NL,,75,74,0.503355705,none,5,,n,,Robison Field,447768,5668,3rd of 8,$,99,97,
San Francisco Giants,7,1912,New York Giants,,,2,NL,,103,48,0.682119205,toppct,1,Lost_WS ,n,4-3),Polo Grounds V,638000,8395,1st of 8,$,100,104,
Boston Red Socks,10,1912,Boston Red Sox,,,1,AL,,105,47,0.690789474,both,1,Won_WS ,y,4-3),Fenway Park,597096,7655,2nd of 8,$,102,105,
Atlanta Braves,1,1912,Boston Braves,BSB,,5,NL,,52,101,0.339869281,none,8,,n,,South End Grounds III,121000,1532,8th of 8,$,104,100,
Baltimore Orioles,9,1912,St. Louis Browns,,,2,AL,,53,101,0.344155844,none,7,,n ,,Sportsman's Park III,214070,2710,8th of 8,$,100,96,
Chicago Cubs,2,1912,Chicago Cubs,,,1,NL,,91,59,0.606666667,none,3,,n,,West Side Grounds,514000,6590,2nd of 8,$,97,100,
Chicago White Sox,11,1912,Chicago White Sox,,,1,AL,,78,76,0.506493506,none,4,,n,,White Sox Park,602241,7721,1st of 8,$,97,97,
Cincinnati Reds,3,1912,Cincinnati Reds,,,3,NL,,75,78,0.490196078,none,4,,n,,Redland Field,344000,4468,4th of 8,$,99,97,
Cleveland Indians,12,1912,Cleveland Naps,,,2,AL,,75,78,0.490196078,none,5,,n,,League Park II,336844,4375,6th of 8,$,103,103,
Detroit Tigers,13,1912,Detroit Tigers,,,1,AL,,69,84,0.450980392,none,6,,n,,Navin Field,402870,5301,4th of 8,$,98,97,
Los Angeles Dodgers,8,1912,Brooklyn Dodgers,,,5,NL,,58,95,0.379084967,none,7,,n ,,Washington Park III,243000,3197,6th of 8,$,98,96,
Minnesota Twins,14,1912,Washington Senators,,,2,AL,,91,61,0.598684211,none,2,,n,,Griffith Stadium,350663,4496,5th of 8,$,101,101,
New York Yankees,15,1912,New York Highlanders,,,2,AL,,50,102,0.328947368,none,8,,n ,,Hilltop Park &  Polo Grounds V,242194,3187,7th of 8,$,108,106,
Oakland Athletics,16,1912,Philadelphia Athletics,,,2,AL,,90,62,0.592105263,none,3,,n,,Shibe Park,517653,6723,3rd of 8,$,93,97,
Philadelphia Phillies,6,1912,Philadelphia Phillies,,,1,NL,,73,79,0.480263158,none,5,,n ,,Baker Bowl,250000,3333,5th of 8,$,106,106,
Pittsburgh Pirates,4,1912,Pittsburgh Pirates,,,1,NL,,93,58,0.61589404,none,2,,n,,Forbes Field,384000,5120,3rd of 8,$,96,99,
St. Louis Cardinals,5,1912,St. Louis Cardinals,,,1,NL,,63,90,0.411764706,none,6,,n,,Robison Field,241759,3140,7th of 8,$,101,98,
San Francisco Giants,7,1913,New York Giants,,,2,NL,,101,51,0.664473684,toppct,1,Lost_WS ,n,4-1),Polo Grounds V,630000,7778,1st of 8,$,98,101,
Oakland Athletics,16,1913,Philadelphia Athletics,,,2,AL,,96,57,0.62745098,both,1,Won_WS ,y,4-1),Shibe Park,571896,7525,2nd of 8,$,94,98,
Atlanta Braves,1,1913,Boston Braves,,,5,NL,,69,82,0.456953642,none,5,,n,,South End Grounds III &  Fenway Park,208000,2701,8th of 8,$,102,100,
Baltimore Orioles,9,1913,St. Louis Browns,,,2,AL,,57,96,0.37254902,none,8,,n ,,Sportsman's Park III,250330,3251,8th of 8,$,100,97,
Boston Red Socks,10,1913,Boston Red Sox,,,1,AL,,79,71,0.526666667,none,4,,n,,Fenway Park,437194,5829,4th of 8,$,100,103,
Chicago Cubs,2,1913,Chicago Cubs,,,1,NL,,88,65,0.575163399,none,3,,n,,West Side Grounds,419000,5513,3rd of 8,$,99,100,
Chicago White Sox,11,1913,Chicago White Sox,,,1,AL,,78,74,0.513157895,none,5,,n,,Comiskey Park I,644501,8370,1st of 8,$,100,99,
Cincinnati Reds,3,1913,Cincinnati Reds,,,3,NL,,64,89,0.418300654,none,7,,n,,Redland Field,258000,3308,6th of 8,$,101,100,
Cleveland Indians,12,1913,Cleveland Naps,,,2,AL,,86,66,0.565789474,none,3,,n,,League Park II,541000,6763,3rd of 8,$,103,103,
Detroit Tigers,13,1913,Detroit Tigers,,,1,AL,,66,87,0.431372549,none,6,,n,,Navin Field,398502,5243,5th of 8,$,99,99,
Los Angeles Dodgers,8,1913,Brooklyn Superbas,BKS,,4,NL,,65,84,0.436241611,none,6,,n ,,Ebbets Field,347000,4506,4th of 8,$,103,103,
Minnesota Twins,14,1913,Washington Senators,,,2,AL,,90,64,0.584415584,none,2,,n,,Griffith Stadium,325831,4177,7th of 8,$,101,102,
New York Yankees,15,1913,New York Yankees,NYY,,1,AL,,57,94,0.377483444,none,7,,n ,,Polo Grounds V,357551,4767,6th of 8,$,102,100,
Philadelphia Phillies,6,1913,Philadelphia Phillies,,,1,NL,,88,63,0.582781457,none,2,,n ,,Baker Bowl,470000,6026,2nd of 8,$,104,104,
Pittsburgh Pirates,4,1913,Pittsburgh Pirates,,,1,NL,,78,71,0.523489933,none,4,,n,,Forbes Field,296000,3747,5th of 8,$,94,96,
St. Louis Cardinals,5,1913,St. Louis Cardinals,,,1,NL,,51,99,0.34,none,8,,n,,Robison Field,203531,2750,7th of 8,$,101,98,
Oakland Athletics,16,1914,Philadelphia Athletics,,,2,AL,,99,53,0.651315789,toppct,1,Lost_WS ,n ,4-0),Shibe Park,346641,4444,5th of 8,$,95,96,
Atlanta Braves,1,1914,Boston Braves,,,5,NL,,94,59,0.614379085,both,1,Won_WS ,y,4-0),South End Grounds III &  Fenway Park,382913,4847,1st of 8,$,102,104,
Baltimore Orioles,9,1914,St. Louis Browns,,,2,AL,,71,82,0.464052288,none,5,,n ,,Sportsman's Park III,244714,3021,7th of 8,$,99,96,
Boston Red Socks,10,1914,Boston Red Sox,,,1,AL,,91,62,0.594771242,none,2,,n,,Fenway Park,481359,6093,1st of 8,$,98,100,
Chicago Cubs,2,1914,Chicago Cubs,,,1,NL,,78,76,0.506493506,none,4,,n,,West Side Grounds,202516,2665,4th of 8,$,100,100,
Chicago White Sox,11,1914,Chicago White Sox,,,1,AL,,70,84,0.454545455,none,6,,n,,Comiskey Park I,469290,5794,2nd of 8,$,98,99,
Cincinnati Reds,3,1914,Cincinnati Reds,,,3,NL,,60,94,0.38961039,none,8,,n,,Redland Field,100791,1309,8th of 8,$,105,103,
Cleveland Indians,12,1914,Cleveland Naps,,,2,AL,,51,102,0.333333333,none,8,,n,,League Park II,185997,2354,8th of 8,$,105,104,
Detroit Tigers,13,1914,Detroit Tigers,,,1,AL,,80,73,0.522875817,none,4,,n,,Navin Field,416225,5336,3rd of 8,$,102,103,
Los Angeles Dodgers,8,1914,Brooklyn Robins,BKR,,3,NL,,75,79,0.487012987,none,5,,n ,,Ebbets Field,122671,1553,7th of 8,$,102,102,
Minnesota Twins,14,1914,Washington Senators,,,2,AL,,81,73,0.525974026,none,3,,n,,Griffith Stadium,243888,3167,6th of 8,$,103,104,
New York Yankees,15,1914,New York Yankees,,,1,AL,,70,84,0.454545455,none,6,,n ,,Polo Grounds V,359477,4609,4th of 8,$,101,100,
Philadelphia Phillies,6,1914,Philadelphia Phillies,,,1,NL,,74,80,0.480519481,none,6,,n ,,Baker Bowl,138474,1775,6th of 8,$,105,106,
Pittsburgh Pirates,4,1914,Pittsburgh Pirates,,,1,NL,,69,85,0.448051948,none,7,,n,,Forbes Field,139620,1813,5th of 8,$,95,96,
San Francisco Giants,7,1914,New York Giants,,,2,NL,,84,70,0.545454545,none,2,,n,,Polo Grounds V,364313,4554,2nd of 8,$,95,97,
St. Louis Cardinals,5,1914,St. Louis Cardinals,,,1,NL,,81,72,0.529411765,none,3,,n,,Robison Field,256099,3242,3rd of 8,$,100,99,
Philadelphia Phillies,6,1915,Philadelphia Phillies,,,1,NL,,90,62,0.592105263,toppct,1,Lost_WS ,n ,4-1),Baker Bowl,449898,5920,1st of 8,$,100,101,
Boston Red Socks,10,1915,Boston Red Sox,,,1,AL,,101,50,0.668874172,both,1,Won_WS ,y,4-1),Fenway Park,539885,7104,1st of 8,$,95,97,
Atlanta Braves,1,1915,Boston Braves,,,5,NL,,83,69,0.546052632,none,2,,n ,,Fenway Park &  Braves Field,376283,4824,3rd of 8,$,97,98,
Baltimore Orioles,9,1915,St. Louis Browns,,,2,AL,,63,91,0.409090909,none,6,,n ,,Sportsman's Park III,150358,1978,7th of 8,$,98,96,
Chicago Cubs,2,1915,Chicago Cubs,,,1,NL,,73,80,0.477124183,none,4,,n,,West Side Grounds,217058,2819,7th of 8,$,101,100,
Chicago White Sox,11,1915,Chicago White Sox,,,1,AL,,93,61,0.603896104,none,3,,n,,Comiskey Park I,539461,6829,2nd of 8,$,102,103,
Cincinnati Reds,3,1915,Cincinnati Reds,,,3,NL,,71,83,0.461038961,none,7,,n,,Redland Field,218878,2771,8th of 8,$,104,102,
Cleveland Indians,12,1915,Cleveland Indians,CLE,,1,AL,,57,95,0.375,none,7,,n,,League Park II,159285,2069,6th of 8,$,104,102,
Detroit Tigers,13,1915,Detroit Tigers,,,1,AL,,100,54,0.649350649,none,2,,n,,Navin Field,476105,6183,3rd of 8,$,103,105,
Los Angeles Dodgers,8,1915,Brooklyn Robins,,,3,NL,,80,72,0.526315789,none,3,,n ,,Ebbets Field,297766,3818,4th of 8,$,101,102,
Minnesota Twins,14,1915,Washington Senators,,,2,AL,,85,68,0.555555556,none,4,,n,,Griffith Stadium,167332,2092,5th of 8,$,101,102,
New York Yankees,15,1915,New York Yankees,,,1,AL,,69,83,0.453947368,none,5,,n ,,Polo Grounds V,256035,3122,4th of 8,$,100,100,
Oakland Athletics,16,1915,Philadelphia Athletics,,,2,AL,,43,109,0.282894737,none,8,,n,,Shibe Park,146223,1976,8th of 8,$,99,96,
Pittsburgh Pirates,4,1915,Pittsburgh Pirates,,,1,NL,,73,81,0.474025974,none,5,,n,,Forbes Field,225743,2858,6th of 8,$,99,99,
San Francisco Giants,7,1915,New York Giants,,,2,NL,,69,83,0.453947368,none,8,,n,,Polo Grounds V,391850,5156,2nd of 8,$,93,94,
St. Louis Cardinals,5,1915,St. Louis Cardinals,,,1,NL,,72,81,0.470588235,none,6,,n,,Robison Field,252666,3119,5th of 8,$,101,100,
Los Angeles Dodgers,8,1916,Brooklyn Robins,,,3,NL,,94,60,0.61038961,toppct,1,Lost_WS ,n ,4-1),Ebbets Field,447747,5740,4th of 8,$,102,103,
Boston Red Socks,10,1916,Boston Red Sox,,,1,AL,,91,63,0.590909091,both,1,Won_WS ,y,4-1),Fenway Park &  Braves Field,496397,6364,3rd of 8,$,98,101,
Atlanta Braves,1,1916,Boston Braves,,,5,NL,,89,63,0.585526316,none,3,,n ,,Braves Field,313495,4019,5th of 8,$,94,95,
Baltimore Orioles,9,1916,St. Louis Browns,,,2,AL,,79,75,0.512987013,none,5,,n ,,Sportsman's Park III,335740,4250,6th of 8,$,97,95,
Chicago Cubs,2,1916,Chicago Cubs,,,1,NL,,67,86,0.437908497,none,5,,n,,Weeghman Park,453685,5743,3rd of 8,$,111,110,
Chicago White Sox,11,1916,Chicago White Sox,,,1,AL,,89,65,0.577922078,none,2,,n,,Comiskey Park I,679923,8830,1st of 8,$,98,101,
Cincinnati Reds,3,1916,Cincinnati Reds,,,3,NL,,60,93,0.392156863,none,7,,n,,Redland Field,255846,3366,7th of 8,$,99,98,
Cleveland Indians,12,1916,Cleveland Indians,,,1,AL,,77,77,0.5,none,6,,n,,Dunn Field,492106,6309,4th of 8,$,106,106,
Detroit Tigers,13,1916,Detroit Tigers,,,1,AL,,87,67,0.564935065,none,3,,n,,Navin Field,616772,8010,2nd of 8,$,101,104,
Minnesota Twins,14,1916,Washington Senators,,,2,AL,,76,77,0.496732026,none,7,,n,,Griffith Stadium,177265,2188,8th of 8,$,99,99,
New York Yankees,15,1916,New York Yankees,,,1,AL,,80,74,0.519480519,none,4,,n ,,Polo Grounds V,469211,5939,5th of 8,$,102,102,
Oakland Athletics,16,1916,Philadelphia Athletics,,,2,AL,,36,117,0.235294118,none,8,,n,,Shibe Park,184471,2427,7th of 8,$,101,95,
Philadelphia Phillies,6,1916,Philadelphia Phillies,,,1,NL,,91,62,0.594771242,none,2,,n ,,Baker Bowl,515365,6524,2nd of 8,$,101,104,
Pittsburgh Pirates,4,1916,Pittsburgh Pirates,,,1,NL,,65,89,0.422077922,none,6,,n,,Forbes Field,289132,3707,6th of 8,$,102,101,
San Francisco Giants,7,1916,New York Giants,,,2,NL,,86,66,0.565789474,none,4,,n,,Polo Grounds V,552056,7078,1st of 8,$,93,95,
St. Louis Cardinals,5,1916,St. Louis Cardinals,,,1,NL,,60,93,0.392156863,none,7,,n,,Robison Field,224308,2951,8th of 8,$,101,99,
San Francisco Giants,7,1917,New York Giants,,,2,NL,,98,56,0.636363636,toppct,1,Lost_WS ,n,4-2),Polo Grounds V,500264,6253,1st of 8,$,94,97,
Chicago White Sox,11,1917,Chicago White Sox,,,1,AL,,100,54,0.649350649,both,1,Won_WS ,y,4-2),Comiskey Park I,684521,8665,1st of 8,$,100,102,
Atlanta Braves,1,1917,Boston Braves,,,5,NL,,72,81,0.470588235,none,6,,n ,,Braves Field,174253,2263,8th of 8,$,94,94,
Baltimore Orioles,9,1917,St. Louis Browns,,,2,AL,,57,97,0.37012987,none,7,,n ,,Sportsman's Park III,210486,2699,7th of 8,$,98,96,
Boston Red Socks,10,1917,Boston Red Sox,,,1,AL,,90,62,0.592105263,none,2,,n,,Fenway Park,387856,4848,4th of 8,$,97,99,
Chicago Cubs,2,1917,Chicago Cubs,,,1,NL,,74,80,0.480519481,none,5,,n,,Weeghman Park,360218,4678,2nd of 8,$,107,108,
Cincinnati Reds,3,1917,Cincinnati Reds,,,3,NL,,78,76,0.506493506,none,4,,n,,Redland Field,269056,3363,5th of 8,$,97,96,
Cleveland Indians,12,1917,Cleveland Indians,,,1,AL,,88,66,0.571428571,none,3,,n,,Dunn Field,477298,6119,2nd of 8,$,106,107,
Detroit Tigers,13,1917,Detroit Tigers,,,1,AL,,78,75,0.509803922,none,4,,n,,Navin Field,457289,6017,3rd of 8,$,99,100,
Los Angeles Dodgers,8,1917,Brooklyn Robins,,,3,NL,,70,81,0.463576159,none,7,,n ,,Ebbets Field,221619,2841,6th of 8,$,103,103,
Minnesota Twins,14,1917,Washington Senators,,,2,AL,,74,79,0.483660131,none,5,,n,,Griffith Stadium,89682,1121,8th of 8,$,99,99,
New York Yankees,15,1917,New York Yankees,,,1,AL,,71,82,0.464052288,none,6,,n ,,Polo Grounds V,330294,4404,5th of 8,$,101,101,
Oakland Athletics,16,1917,Philadelphia Athletics,,,2,AL,,55,98,0.359477124,none,8,,n,,Shibe Park,221432,2914,6th of 8,$,103,98,
Philadelphia Phillies,6,1917,Philadelphia Phillies,,,1,NL,,87,65,0.572368421,none,2,,n ,,Baker Bowl,354428,4664,3rd of 8,$,104,104,
Pittsburgh Pirates,4,1917,Pittsburgh Pirates,,,1,NL,,51,103,0.331168831,none,8,,n,,Forbes Field,192807,2441,7th of 8,$,105,103,
St. Louis Cardinals,5,1917,St. Louis Cardinals,,,1,NL,,82,70,0.539473684,none,3,,n,,Robison Field,288491,3699,4th of 8,$,99,97,
Chicago Cubs,2,1918,Chicago Cubs,,,1,NL,,84,45,0.651162791,toppct,1,Lost_WS ,n,4-2),Weeghman Park,337256,4558,2nd of 8,$,101,102,
Boston Red Socks,10,1918,Boston Red Sox,,,1,AL,,75,51,0.595238095,both,1,Won_WS ,y,4-2),Fenway Park,249513,3564,3rd of 8,$,97,98,
Atlanta Braves,1,1918,Boston Braves,,,5,NL,,53,71,0.427419355,none,7,,n ,,Braves Field,84938,1633,6th of 8,$,97,95,
Baltimore Orioles,9,1918,St. Louis Browns,,,2,AL,,58,64,0.475409836,none,5,,n ,,Sportsman's Park III,122076,2303,8th of 8,$,98,96,
Chicago White Sox,11,1918,Chicago White Sox,,,1,AL,,57,67,0.459677419,none,6,,n,,Comiskey Park I,195081,3484,5th of 8,$,99,102,
Cincinnati Reds,3,1918,Cincinnati Reds,,,3,NL,,68,60,0.53125,none,3,,n,,Redland Field,163009,2296,4th of 8,$,97,99,
Cleveland Indians,12,1918,Cleveland Indians,,,1,AL,,73,54,0.57480315,none,2,,n,,Dunn Field,295515,4766,1st of 8,$,108,110,
Detroit Tigers,13,1918,Detroit Tigers,,,1,AL,,55,71,0.436507937,none,7,,n,,Navin Field,203719,3512,4th of 8,$,96,96,
Los Angeles Dodgers,8,1918,Brooklyn Robins,,,3,NL,,57,69,0.452380952,none,5,,n ,,Ebbets Field,83831,1552,7th of 8,$,100,99,
Minnesota Twins,14,1918,Washington Senators,,,2,AL,,72,56,0.5625,none,3,,n,,Griffith Stadium,182122,2461,7th of 8,$,99,99,
New York Yankees,15,1918,New York Yankees,,,1,AL,,60,63,0.487804878,none,4,,n ,,Polo Grounds V,282047,4210,2nd of 8,$,102,102,
Oakland Athletics,16,1918,Philadelphia Athletics,,,2,AL,,52,76,0.40625,none,8,,n,,Shibe Park,177926,2617,6th of 8,$,105,101,
Philadelphia Phillies,6,1918,Philadelphia Phillies,,,1,NL,,55,68,0.447154472,none,6,,n ,,Baker Bowl,122266,2145,5th of 8,$,108,106,
Pittsburgh Pirates,4,1918,Pittsburgh Pirates,,,1,NL,,65,60,0.52,none,4,,n,,Forbes Field,213610,3009,3rd of 8,$,104,104,
San Francisco Giants,7,1918,New York Giants,,,2,NL,,71,53,0.572580645,none,2,,n,,Polo Grounds V,256618,4582,1st of 8,$,95,98,
St. Louis Cardinals,5,1918,St. Louis Cardinals,,,1,NL,,51,78,0.395348837,none,8,,n,,Robison Field,110599,1515,8th of 8,$,98,97,
Chicago White Sox,11,1919,Chicago White Sox,,,1,AL,,88,52,0.628571429,toppct,1,Lost_WS ,n,5-3),Comiskey Park I,627186,8960,2nd of 8,$,99,101,
Cincinnati Reds,3,1919,Cincinnati Reds,,,3,NL,,96,44,0.685714286,both,1,Won_WS ,y,5-3),Redland Field,532501,7607,2nd of 8,$,96,98,
Atlanta Braves,1,1919,Boston Braves,,,5,NL,,57,82,0.410071942,none,6,,n ,,Braves Field,167401,2462,7th of 8,$,97,95,
Baltimore Orioles,9,1919,St. Louis Browns,,,2,AL,,67,72,0.482014388,none,5,,n ,,Sportsman's Park III,349350,4991,6th of 8,$,102,102,
Boston Red Socks,10,1919,Boston Red Sox,,,1,AL,,66,71,0.481751825,none,6,,n ,,Fenway Park,417291,6323,5th of 8,$,94,94,
Chicago Cubs,2,1919,Chicago Cubs,,,1,NL,,75,65,0.535714286,none,3,,n,,Weeghman Park,424430,5978,3rd of 8,$,99,100,
Cleveland Indians,12,1919,Cleveland Indians,,,1,AL,,84,55,0.604316547,none,2,,n,,Dunn Field,538135,7799,4th of 8,$,104,106,
Detroit Tigers,13,1919,Detroit Tigers,,,1,AL,,80,60,0.571428571,none,4,,n,,Navin Field,643805,9197,1st of 8,$,99,98,
Los Angeles Dodgers,8,1919,Brooklyn Robins,,,3,NL,,69,71,0.492857143,none,5,,n ,,Ebbets Field,360721,5153,4th of 8,$,102,102,
Minnesota Twins,14,1919,Washington Senators,,,2,AL,,56,84,0.4,none,7,,n,,Griffith Stadium,234096,3251,7th of 8,$,100,99,
New York Yankees,15,1919,New York Yankees,,,1,AL,,80,59,0.575539568,none,3,,n ,,Polo Grounds V,619164,8482,3rd of 8,$,99,101,
Oakland Athletics,16,1919,Philadelphia Athletics,,,2,AL,,36,104,0.257142857,none,8,,n,,Shibe Park,225209,3217,8th of 8,$,106,101,
Philadelphia Phillies,6,1919,Philadelphia Phillies,,,1,NL,,47,90,0.343065693,none,8,,n ,,Baker Bowl,240424,3386,6th of 8,$,110,107,
Pittsburgh Pirates,4,1919,Pittsburgh Pirates,,,1,NL,,71,68,0.510791367,none,4,,n,,Forbes Field,276810,3954,5th of 8,$,104,104,
San Francisco Giants,7,1919,New York Giants,,,2,NL,,87,53,0.621428571,none,2,,n,,Polo Grounds V,708857,10273,1st of 8,$,97,100,
St. Louis Cardinals,5,1919,St. Louis Cardinals,,,1,NL,,54,83,0.394160584,none,7,,n,,Robison Field,167059,2421,8th of 8,$,96,94,
Los Angeles Dodgers,8,1920,Brooklyn Robins,,,3,NL,,93,61,0.603896104,toppct,1,Lost_WS ,n ,5-2),Ebbets Field,808722,10368,2nd of 8,$,103,104,
Cleveland Indians,12,1920,Cleveland Indians,,,1,AL,,98,56,0.636363636,both,1,Won_WS ,y,5-2),Dunn Field,912832,11703,2nd of 8,$,101,104,
Atlanta Braves,1,1920,Boston Braves,,,5,NL,,62,90,0.407894737,none,7,,n ,,Braves Field,162483,2196,8th of 8,$,96,95,
Baltimore Orioles,9,1920,St. Louis Browns,,,2,AL,,76,77,0.496732026,none,4,,n ,,Sportsman's Park III,419311,5376,5th of 8,$,103,103,
Boston Red Socks,10,1920,Boston Red Sox,,,1,AL,,72,81,0.470588235,none,5,,n ,,Fenway Park,402445,5295,6th of 8,$,96,96,
Chicago Cubs,2,1920,Chicago Cubs,,,1,NL,,75,79,0.487012987,none,5,,n,,Cubs Park,480783,6244,4th of 8,$,102,101,
Chicago White Sox,11,1920,Chicago White Sox,,,1,AL,,96,58,0.623376623,none,2,,n,,Comiskey Park I,833492,10825,3rd of 8,$,99,100,
Cincinnati Reds,3,1920,Cincinnati Reds,,,3,NL,,82,71,0.535947712,none,3,,n ,,Redland Field,568107,7378,3rd of 8,$,97,99,
Detroit Tigers,13,1920,Detroit Tigers,,,1,AL,,61,93,0.396103896,none,7,,n,,Navin Field,579650,7431,4th of 8,$,98,97,
Minnesota Twins,14,1920,Washington Senators,,,2,AL,,68,84,0.447368421,none,6,,n,,Griffith Stadium,359260,4727,7th of 8,$,98,97,
New York Yankees,15,1920,New York Yankees,,,1,AL,,95,59,0.616883117,none,3,,n ,,Polo Grounds V,1289422,16746,1st of 8,$,101,104,
Oakland Athletics,16,1920,Philadelphia Athletics,,,2,AL,,48,106,0.311688312,none,8,,n,,Shibe Park,287888,3739,8th of 8,$,106,101,
Philadelphia Phillies,6,1920,Philadelphia Phillies,,,1,NL,,62,91,0.405228758,none,8,,n ,,Baker Bowl,330998,4299,7th of 8,$,108,104,
Pittsburgh Pirates,4,1920,Pittsburgh Pirates,,,1,NL,,79,75,0.512987013,none,4,,n,,Forbes Field,429037,5500,5th of 8,$,103,103,
San Francisco Giants,7,1920,New York Giants,,,2,NL,,86,68,0.558441558,none,2,,n,,Polo Grounds V,929609,11620,1st of 8,$,97,100,
St. Louis Cardinals,5,1920,St. Louis Cardinals,,,1,NL,,75,79,0.487012987,none,5,,n,,Sportsman's Park III &  Robison Field,326836,4300,6th of 8,$,98,98,
New York Yankees,15,1921,New York Yankees,,,1,AL,,98,55,0.640522876,toppct,1,Lost_WS ,n ,5-3),Polo Grounds V,1230696,15778,1st of 8,$,98,102,
San Francisco Giants,7,1921,New York Giants,,,2,NL,,94,59,0.614379085,both,1,Won_WS ,y,5-3),Polo Grounds V,973477,12322,1st of 8,$,98,102,
Atlanta Braves,1,1921,Boston Braves,,,5,NL,,79,74,0.516339869,none,4,,n ,,Braves Field,318627,4306,6th of 8,$,96,94,
Baltimore Orioles,9,1921,St. Louis Browns,,,2,AL,,81,73,0.525974026,none,3,,n ,,Sportsman's Park III,355978,4623,6th of 8,$,105,106,
Boston Red Socks,10,1921,Boston Red Sox,,,1,AL,,75,79,0.487012987,none,5,,n ,,Fenway Park,279273,3627,8th of 8,$,99,97,
Chicago Cubs,2,1921,Chicago Cubs,,,1,NL,,64,89,0.418300654,none,7,,n,,Cubs Park,410107,5396,4th of 8,$,101,100,
Chicago White Sox,11,1921,Chicago White Sox,,,1,AL,,62,92,0.402597403,none,7,,n,,Comiskey Park I,543650,7060,4th of 8,$,98,98,
Cincinnati Reds,3,1921,Cincinnati Reds,,,3,NL,,70,83,0.45751634,none,6,,n ,,Redland Field,311227,4095,7th of 8,$,94,95,
Cleveland Indians,12,1921,Cleveland Indians,,,1,AL,,94,60,0.61038961,none,2,,n,,Dunn Field,748705,9723,2nd of 8,$,100,102,
Detroit Tigers,13,1921,Detroit Tigers,,,1,AL,,71,82,0.464052288,none,6,,n,,Navin Field,661527,8591,3rd of 8,$,100,99,
Los Angeles Dodgers,8,1921,Brooklyn Robins,,,3,NL,,77,75,0.506578947,none,5,,n ,,Ebbets Field,613245,7862,3rd of 8,$,104,105,
Minnesota Twins,14,1921,Washington Senators,,,2,AL,,80,73,0.522875817,none,4,,n,,Griffith Stadium,456069,6001,5th of 8,$,96,95,
